SampleGroup,RNASeq1,RNAseq2,Value
ER+,ZFP36L2_3,COX8A_1,-0.155126349437374
ER+,ATP5B_3,ATP5A1_1,-0.155117652272976
ER+,AP1B1_3,UBA1_1,-0.154916357398193
ER+,MYH9_3,MPV17L2_1,-0.154644247548718
ER+,CDC25C_3,ARPC1A_1,-0.154621952263767
ER+,PLK1_3,FUNDC1_1,-0.153327974290784
ER+,CALD1_3,ARF5_1,-0.15279040135259
ER+,TLR4_3,ARF5_1,-0.152011911580579
ER+,GTSE1_3,EIF1AX_1,-0.151765952685706
ER+,GTSE1_3,EIF3CL_1,-0.151324292395415
ER+,NPR2_3,GPI_1,-0.150635718726691
ER+,LAPTM5_3,EIF3CL_1,-0.150525197138199
ER+,MAFA_3,ATP5H_1,-0.150470883666751
ER+,EEF1A1_3,CAPZB_1,-0.150412950527883
ER+,FOXM1_3,DCP2_1,-0.150236531552938
ER+,GSPT1_3,RRAGA_1,-0.149546623110606
ER+,LCP2_3,TRA2A_1,-0.149161269174462
ER+,CDC25C_3,GEMIN8_1,-0.148709593017027
ER+,LAPTM5_3,EIF1AX_1,-0.148594696830715
ER+,PTPN6_3,CWC15_1,-0.148538873993429
ER+,ABCA8_3,SNRPD1_1,-0.148505911001461
ER+,RPS6KA3_3,GARS_1,-0.148500350877256
ER+,PIK3AP1_3,ATP5G3_1,-0.147725136940061
ER+,COL14A1_3,RAD23A_1,-0.147471330712403
ER+,AP1S2_3,RAD23A_1,-0.146819573793929
ER+,FLNA_3,GEMIN7_1,-0.146476577147347
ER+,TBXA2R_3,SNRNP70_1,-0.146457747238115
ER+,EEF1A1_3,PDHA1_1,-0.145938803612259
ER+,TLN1_3,UQCRC2_1,-0.145593655481641
ER+,PDCD1LG2_3,FIS1_1,-0.145256433690245
ER+,PABPN1_3,NOP10_1,-0.145134094196134
ER+,NUP188_3,TUBA1B_1,-0.144558222104765
ER+,ABCA8_3,NOP56_1,-0.144384734432665
ER+,VCAN_3,NOP58_1,-0.144271875977867
ER+,GTF2A1_3,FTH1_1,-0.144092099158091
ER+,ABCA8_3,UQCRC1_1,-0.143879293675716
ER+,CALD1_3,ATP5G2_1,-0.143228668605286
ER+,TLR4_3,TOMM7_1,-0.143001683739839
ER+,UBE2C_3,UQCRH_1,-0.142771714416524
ER+,EEF1A1_3,COX5A_1,-0.140872567411826
ER+,COX6A2_3,GEMIN7_1,-0.140802906947631
ER+,EARS2_3,SNRPD3_1,-0.140494788160702
ER+,GLI2_3,YARS_1,-0.140452438694524
ER+,PTTG1_3,CD63_1,-0.140008006437574
ER+,ACTR2_3,ATP5G3_1,-0.138330150814936
ER+,PABPN1_3,EHD1_1,-0.137832693239492
ER+,ABCA6_3,ATP5G3_1,-0.137635112405766
ER+,PDCD1_3,SDHB_1,-0.137582957383952
ER+,CD1C_3,YWHAE_1,-0.136633919394261
ER+,PVR_3,EIF3C_1,-0.136382515467574
ER+,UBE2C_3,EIF1_1,-0.136237284692256
