SampleGroup,RNASeq1,RNAseq2,Value
ER+,SNRPG_1,EIF2S3_1,-0.0697745118523954
ER+,FTH1_1,PRPF31_1,-0.068849118642214
ER+,HSPD1_1,NOP58_1,-0.068841837406424
ER+,RBBP4_1,UQCRFS1_1,-0.0687599442998295
ER+,HSP90B1_1,SNRPD1_1,-0.0686550111906392
ER+,FTH1_1,EIF1_1,-0.0686259294722102
ER+,ATP5E_1,ATG12_1,-0.0683844671128269
ER+,BUD31_1,YWHAE_1,-0.0683589558686355
ER+,PRDX5_1,RAD23A_1,-0.0682525364216697
ER+,COX6A1_1,CWC15_1,-0.0681091109475402
ER+,HNRNPA3_1,CAPZB_1,-0.0672429146832217
ER+,GGPS1_1,SH3GL1_1,0.0671110636081605
ER+,SNRPD1_1,PDHA1_1,-0.0667916125023787
ER+,HNRNPK_1,UQCRB_1,-0.066716498302545
ER+,HSP90B1_1,NOP58_1,-0.0658701405172321
ER+,SNRPD2_1,GARS_1,-0.065816316337991
ER+,HNRNPA3_1,EIF2S3_1,-0.0652128743565904
ER+,NOP10_1,CWC15_1,-0.0649450044338276
ER+,HNRNPA1_1,TOMM7_1,-0.064749482593566
ER+,SF3B5_1,MCAT_1,-0.0645704393517484
ER+,NOP58_1,EIF2S3_1,-0.0643806456404961
ER+,SNRPD1_1,CAPZB_1,-0.0642351731223984
ER+,NOP10_1,P2RX5_1,-0.0642215804768275
ER+,GAPDH_1,HSD17B10_1,-0.0637555861161752
ER+,RBBP4_1,SNRPA_1,-0.0636770879639946
ER+,GEMIN7_1,COX6A1_1,-0.0636739910487427
ER+,EIF3CL_1,RARS_1,-0.0635684566274302
ER+,BUD31_1,SNRNP70_1,-0.063533146172581
ER+,COX6B1_1,WARS_1,-0.0634559028001741
ER+,EHD1_1,SNRNP70_1,-0.0633492124714194
ER+,HSPA9_1,ARHGDIA_1,-0.0632022550255701
ER+,GAPDH_1,PGK1_1,-0.0631569147163301
ER+,FARSB_1,NOP10_1,-0.0630975622774866
ER+,COX4I1_1,GPI_1,-0.0629935924467963
ER+,HNRNPA1_1,ARF5_1,-0.0629786338205561
ER+,NOP56_1,YWHAE_1,-0.0628399952124638
ER+,HNRNPC_1,GGPS1_1,-0.0628344668701894
ER+,UQCRC2_1,RAD23A_1,-0.0627671703562597
ER+,GGPS1_1,EIF2S3_1,-0.0626175149670221
ER+,HSPD1_1,PRDX1_1,-0.0625760270187167
ER+,ARPC5L_1,GPI_1,-0.0622140874113486
ER+,GAPDH_1,BUD31_1,-0.0621620879198017
ER+,GARS_1,TBL3_1,-0.0620812425469897
ER+,EIF3CL_1,UQCR10_1,-0.0620428898096323
ER+,TCOF1_1,CAPZB_1,-0.0620144504778085
ER+,UBE2D2_1,PABPN1_1,-0.0616389614402203
ER+,FTH1_1,SF3B2_1,-0.0616096395425165
ER+,MPV17L2_1,NPRL2_1,-0.0614604679221913
ER+,DNASE2_1,EHD1_1,-0.0609353561497179
ER+,NPRL2_1,RNASEH2C_1,-0.0607657909237724
ER+,WARS_1,TBL3_1,-0.060761059247562
ER+,SNRPG_1,EIF6_1,-0.0606679058267168
ER+,UQCRQ_1,SH3GL1_1,0.0603737022263173
ER+,HSPA9_1,HSPD1_1,-0.0601989611445809
ER+,ARPC3_1,SDHB_1,-0.0601022291622523
ER+,RNASEH2C_1,YWHAE_1,-0.060026817280768
ER+,EIF5B_1,ARPC1A_1,-0.059893071492205
ER+,ATP5C1_1,UQCRFS1_1,-0.0595851950467956
ER+,EIF3CL_1,SNRPD3_1,-0.0594526988683968
ER+,ATP5J2_1,EPN1_1,-0.0593800930072894
ER+,NOP58_1,PDHA1_1,-0.0593344666493959
ER+,EIF1AX_1,COX8A_1,-0.0591435552323547
ER+,PRDX5_1,WARS_1,-0.0590875444475062
ER+,COX7C_1,ATP5L_1,-0.0590459951473138
ER+,UQCRC1_1,EIF6_1,-0.0589954354367686
ER+,ARPC5L_1,WARS_1,-0.0589421247824736
ER+,EPN1_1,FIS1_1,-0.0587737609019026
ER+,KARS_1,FTH1_1,-0.0586203628509663
ER+,U2AF1_1,UQCRH_1,-0.0584890350107427
ER+,P2RX5_1,EHD1_1,-0.0584430765898056
ER+,EIF5B_1,EIF3CL_1,-0.0583502144360582
ER+,ARPC1A_1,HIBADH_1,-0.0582770202707209
ER+,TAF9_1,UQCR10_1,0.0582522587208949
ER+,COX4I1_1,NOP10_1,-0.0582102067066899
ER+,ETF1_1,UQCRQ_1,0.0580524073611362
ER+,P2RX5_1,GPI_1,-0.0579188181626459
ER+,ARPC5L_1,UQCRC1_1,-0.0578888193734106
ER+,EPN1_1,NAPA_1,-0.0576862475408192
ER+,GAPDH_1,UQCRH_1,-0.0574938476275792
ER+,SNRPB_1,EIF1AX_1,-0.0574245809995606
ER+,HSPA9_1,CAPZB_1,-0.0573862735771063
ER+,SHFM1_1,EIF6_1,-0.0573592854515208
ER+,DDX42_1,CHMP4B_1,0.057327915283668
ER+,HNRNPK_1,TUBA1B_1,-0.0570988284262249
ER+,TUBA1C_1,UQCR10_1,-0.0569646844640178
ER+,ARPC5L_1,ACTR3_1,-0.0569146081375617
ER+,COX6B1_1,EIF3C_1,-0.0569072666268344
ER+,ALDOA_1,DCP2_1,-0.0567005326854271
ER+,HNRNPA3_1,ALDOA_1,-0.0565716485425629
ER+,PCBP1_1,CHMP4B_1,-0.0565704590526002
ER+,COX7C_1,CD63_1,-0.0564058022875923
ER+,UQCRC1_1,PEX13_1,-0.0564048468050784
ER+,PRDX5_1,EIF3C_1,-0.0562159312782775
ER+,HMGB1_1,ALDOA_1,-0.0561998027972761
ER+,GARS_1,UBE2M_1,-0.0560365992339836
ER+,BUD31_1,FIS1_1,-0.0558327187800964
ER+,SNRPG_1,FIS1_1,-0.0555970489321928
ER+,COX4I1_1,ATP5G3_1,-0.0555886932890624
ER+,COX7B_1,DDX42_1,0.0554342350154661
ER+,EIF3CL_1,ARF5_1,-0.0553001552394551
ER+,PGK1_1,HSPD1_1,-0.0552910354854419
ER+,SHFM1_1,CDC34_1,-0.0552749675970484
ER+,HNRNPK_1,ALDOA_1,-0.0552586596026465
ER+,NOP58_1,FIS1_1,-0.0550605295405618
ER+,ARF5_1,EHD1_1,-0.0550195367848796
ER+,EPN1_1,RNASEH2C_1,-0.0549815404562421
ER+,NOP10_1,EIF6_1,-0.0549600088895141
ER+,UBE2D2_1,ATP5G3_1,-0.0549150427493515
ER+,FTL_1,UQCRC2_1,-0.0548490085546536
ER+,TRA2B_1,ATG3_1,-0.0547017710157769
ER+,TCOF1_1,CWC15_1,-0.0546650069258197
ER+,SF3B5_1,TBL3_1,0.0546551679122131
ER+,SF3B2_1,ELK1_1,-0.0546464682778053
ER+,FUNDC1_1,ATP5G2_1,-0.0544932608713294
ER+,TAF9_1,ATP5L_1,-0.054144470873854
ER+,COX7A2L_1,RAD23A_1,-0.0540500833071235
ER+,TXNL4A_1,PRDX1_1,-0.0540425271027803
ER+,GAPDH_1,UBE2L3_1,-0.0539330243497097
ER+,ARPC5L_1,NOP56_1,-0.0538473506800464
ER+,EPN1_1,PEX13_1,-0.0537111016641426
