SampleGroup,mRNA,RNAseq,Value
ER+,PTPLAD2_3,ATP5C1_1,1.15798759613825
ER+,SQRDL_3,RBBP4_1,1.15729286350815
ER+,CYP7B1_3,EIF5B_1,1.1565468886526
ER+,CYP7B1_3,SNRNP70_1,1.15421123000598
ER+,CH25H_3,ECH1_1,-1.15336492200978
ER+,INSL3_3,COX7A2L_1,1.15204204712561
ER+,KCNN3_3,ATP5J_1,-1.15022422328606
ER+,CYP7B1_3,RAD23A_1,1.14599972165699
ER+,PTPLAD2_3,GEMIN8_1,1.11747608231821
ER+,SQRDL_3,COX7A2L_1,1.10729058626587
ER+,HSD17B6_3,SNRPA_1,1.10466890365266
ER+,CH25H_3,QARS_1,-1.09841184647772
ER+,TAF9_3,ATP5L_1,-1.09623808115707
ER+,CYP7B1_3,APEX1_1,1.08799290070357
ER+,CYP7B1_3,RRAGA_1,1.08556129066052
ER+,PTPLAD2_3,ATP5J_1,1.07462742595298
ER+,CYP7B1_3,MPV17L2_1,1.07458194734872
ER+,CH25H_3,HSP90B1_1,-1.06987551067044
ER+,CH25H_3,ATIC_1,-1.04368137516374
ER+,HSD17B6_3,TAF9_1,1.04113092318235
ER+,CYP7B1_3,GEMIN7_1,1.03523561917603
ER+,CYP7B1_3,VAMP8_1,1.03470041674758
ER+,CYP7B1_3,ATP5C1_1,1.02293060501628
ER+,CH25H_3,DDX42_1,-1.02251662572609
ER+,CH25H_3,PRDX1_1,-1.02147731359002
ER+,CYP7B1_3,UQCRFS1_1,1.01527423523807
ER+,CH25H_3,HSPD1_1,-1.01358543495089
ER+,HSD17B6_3,SNRPD2_1,1.00971496598858
ER+,CH25H_3,RBMX_1,-1.00813671026171
ER+,KCNN3_3,UQCRB_1,-1.00584921696487
ER+,CYP7B1_3,HNRNPK_1,0.998094148982405
ER+,CYP7B1_3,ARF5_1,0.997036300510384
ER+,CYP7B1_3,FUNDC1_1,0.988672372159572
ER+,CYP7B1_3,UQCRB_1,0.986050259980185
ER+,SQRDL_3,PARP2_1,0.985713472896601
ER+,CYP7B1_3,MCAT_1,0.983594804301661
ER+,CYP7B1_3,ATP5L_1,0.981557038169145
ER+,KCNN3_3,RNF7_1,-0.968181640125863
ER+,KCNN3_3,ATP5L_1,-0.962437492751654
ER+,KCNN3_3,HSPA9_1,-0.959526554228158
ER+,CH25H_3,NARS_1,-0.958417170490988
ER+,PGM2_3,HNRNPA1_1,-0.953045053546987
ER+,CYP7B1_3,RNASEH2C_1,0.944518667763158
ER+,KCNN3_3,UBE2M_1,-0.941607435097797
ER+,RETSAT_3,ATP5J_1,0.940907457637789
ER+,PGM2_3,TAF9_1,0.940705656805768
ER+,CH25H_3,FUCA2_1,-0.936453191275651
ER+,CH25H_3,KARS_1,-0.933120549880515
ER+,RETSAT_3,ATG3_1,0.925038331151844
ER+,KCNN3_3,ARPC3_1,-0.921024110052361
ER+,CH25H_3,GPI_1,-0.920280099371452
ER+,UNG_3,COX6A1_1,0.91681402674286
ER+,JAK2_3,ATP5A1_1,-0.914895925824096
ER+,PTPLAD2_3,CD63_1,0.913381856668694
ER+,CH25H_3,TRA2A_1,-0.908566037517782
ER+,CH25H_3,SNRPD1_1,-0.90822826062449
ER+,CH25H_3,EIF2S3_1,-0.906633626865761
ER+,PGM2_3,EIF1AX_1,-0.90545832745059
ER+,CYP7B1_3,COX7A2L_1,0.904889954026474
ER+,CH25H_3,NOP56_1,-0.904250243672742
ER+,CH25H_3,SDHC_1,-0.894903421467556
ER+,CH25H_3,ATP5E_1,-0.894475881708358
ER+,CH25H_3,EIF3CL_1,-0.889432566797303
ER+,CH25H_3,EIF6_1,-0.882161649064459
ER+,CYP7B1_3,EHD1_1,0.880303834805865
