mRNA,RNAseq,stat
XPA_3,HNRNPU_1,15.9
SQRDL_3,PABPN1_1,15.9
CYP7B1_3,COX6B1_1,15.7
TAF4B_3,SSU72_1,15.7
CYP7B1_3,WARS_1,15.6
XPA_3,RRAGA_1,15.6
MCAT_3,HNRNPU_1,15.3
BDH2_3,EIF4A1_1,15.3
CH25H_3,RBMX_1,15.2
CYP7B1_3,HNRNPA1_1,15.1
DCTN2_3,UBA1_1,15.1
PTPLAD2_3,COX7B_1,15
ST8SIA1_3,CDC34_1,15
HSD17B6_3,ATP5B_1,14.9
CH25H_3,EXOSC2_1,14.9
ST8SIA1_3,SF3B5_1,14.9
PTPLAD2_3,SF3B5_1,14.8
XPA_3,RIOK2_1,14.5
SQRDL_3,MPV17L2_1,14.5
PTPLAD2_3,DYNLL1_1,14.5
KCNN3_3,HNRNPK_1,14.4
NNMT_3,RBBP4_1,14.4
ST8SIA1_3,SF3B2_1,14.4
CH25H_3,TBL3_1,14.3
SQRDL_3,TRA2B_1,14.2
DCTN2_3,ATP5A1_1,14.1
PTPLAD2_3,HNRNPA1L2_1,14.1
MCAT_3,SUMO3_1,14
BDH2_3,CETN2_1,13.9
TAF4B_3,HNRNPU_1,13.7
CYP7B1_3,DNASE2_1,13.6
KCNN3_3,ATP5G2_1,13.6
TAF4B_3,ACTR3_1,13.5
ST8SIA1_3,PRPF31_1,13.5
DCTN2_3,PARP2_1,13.2
CH25H_3,PRDX5_1,13.2
CYP7B1_3,PRPF31_1,13.2
CYP7B1_3,ATP5C1_1,13.1
CYP7B1_3,FUNDC1_1,13.1
SQRDL_3,APEX1_1,12.9
CYP7B1_3,RNASEH2C_1,12.9
UNG_3,COX6A1_1,12.9
CH25H_3,ALDOA_1,12.8
ST8SIA1_3,RARS_1,12.8
CH25H_3,UQCR10_1,12.8
CH25H_3,TAF10_1,12.8
NNMT_3,THOC7_1,12.6
BDH2_3,SNX5_1,12.6
HSD17B6_3,ATG3_1,12.6
RETSAT_3,SNRPD1_1,12.5
CH25H_3,AP1S1_1,12.5
CYP7B1_3,ATP5H_1,12.5
ST3GAL6_3,HMGB1_1,12.4
CYP7B1_3,UQCRFS1_1,12.4
DCTN2_3,RIOK2_1,12.4
CYP7B1_3,AP1S1_1,12.4
PTPLAD2_3,CNOT3_1,12.4
KCNN3_3,ARHGDIA_1,12.4
FUT5_3,ATP5A1_1,12.3
CH25H_3,SDHC_1,12.3
ST8SIA1_3,COX7B_1,12.2
ARHGDIB_3,DYNLL1_1,12.1
KCNN3_3,APEX1_1,12
HSD17B6_3,HNRNPK_1,12
SQRDL_3,UBE2D2_1,12
SQRDL_3,CDC34_1,11.9
CH25H_3,RAD23A_1,11.8
CH25H_3,COX6B1_1,11.7
CH25H_3,UQCRH_1,11.7
RDH16_3,ATP5G3_1,11.7
CH25H_3,PIGY_1,11.7
ST8SIA1_3,UBE2M_1,11.7
UNG_3,SSU72_1,11.6
PTPLAD2_3,CHMP4B_1,11.6
ST8SIA1_3,RIOK2_1,11.5
PTPLAD2_3,SUMO3_1,11.5
PGM2_3,DYNLL1_1,11.5
PGM2_3,ARPC1A_1,11.5
CH25H_3,ATP5H_1,11.5
CH25H_3,SNRPD3_1,11.4
ST8SIA1_3,CNOT3_1,11.4
HSD17B6_3,COX7C_1,11.3
SQRDL_3,ARHGDIA_1,11.3
SQRDL_3,TAF9_1,11.2
KCNN3_3,TUBA1B_1,11.2
HSD17B6_3,ATP5O_1,11.1
FUT5_3,RBBP4_1,11.1
ST8SIA1_3,EXOSC2_1,11.1
FUT5_3,ETF1_1,11.1
DCTN2_3,SDHC_1,11.1
KCNN3_3,GGPS1_1,11
MCAT_3,PABPN1_1,10.9
UNG_3,ACTR3_1,10.9
CYP7B1_3,HSD17B10_1,10.9
ST8SIA1_3,THOC7_1,10.8
TAF9_3,PARP2_1,10.8
FUT5_3,PABPN1_1,10.8
CYP7B1_3,ELK1_1,10.8
FUT5_3,SNRPD1_1,10.7
DCTN2_3,SNRPD2_1,10.7
FUT5_3,UBE2M_1,10.7
CH25H_3,COX5B_1,10.7
HSD17B6_3,PARP2_1,10.6
TAF4B_3,ATP5E_1,10.6
RDH16_3,DYNLL1_1,10.6
CYP7B1_3,ARHGDIA_1,10.6
CYP7B1_3,UQCRC2_1,10.5
RETSAT_3,BUD31_1,10.5
MMP2_3,ATP5G3_1,10.5
SQRDL_3,GARS_1,10.5
ST8SIA1_3,TOMM7_1,10.5
ST8SIA1_3,ATG12_1,10.4
FUT5_3,THOC7_1,10.3
ST8SIA1_3,ATP5C1_1,10.3
CYP7B1_3,COX7A2L_1,10.3
RETSAT_3,UQCRH_1,10.3
DCTN2_3,BUD31_1,10.3
PTPLAD2_3,ATG12_1,10.3
UNG_3,WIPI2_1,10.3
BDH2_3,ARPC4_1,10.2
ST8SIA1_3,EIF3CL_1,10.2
BDH2_3,ACTR3_1,10.2
TAF4B_3,SNRNP70_1,10.2
BDH2_3,SF3B4_1,10.2
TAF9_3,UBE2M_1,10.2
KCNN3_3,HNRNPU_1,10.1
RETSAT_3,RIOK2_1,10.1
TAF4B_3,ATP5A1_1,10
TAF9_3,PABPN1_1,10
PGM2_3,CIRH1A_1,10
ST8SIA1_3,PEX13_1,10
